P001;ADM;5,5;9,24;5,5;7,1;8,78;12,25;5,5;8,74;12,25;5,5;9,24;11,5;7,1;8,17;18,25;8,17;8,17;18,25;7,1;8,17;18,25;13;15,67;15,01;0;1
P002;ADM;3,5;11,64;3,5;8;4,84;6,25;3,5;4,82;6,25;3,5;11,64;15,5;8;10,28;5,3;10,28;10,28;5,3;8;10,28;5,3;8,5;8,92;0;0;2
P003;ADM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;0;0;2,9;0;0;2,9;16,75;6,21;5,34;0;3
P004;ADM;8,43;12,19;8,43;10,95;10,16;12;8,43;10,14;12;8,43;12,19;13,5;10,95;13,18;12,25;13,18;13,18;12,25;10,95;13,18;12,25;16;12,59;13,23;0;4
P005;ADM;4,25;10,41;4,25;7,01;6,07;8;4,25;6,05;8;4,25;10,41;14;7,01;12,19;12,9;12,19;12,19;12,9;7,01;12,19;12,9;12,5;12,77;12,15;0;5
P006;ADM;13,25;13,6;13,25;13,7;15,31;17,5;13,25;15,29;17,5;13,25;13,6;13,5;13,7;16,62;16,4;16,62;16,62;16,4;13,7;16,62;16,4;10,5;13,19;13,11;0;6
P007;ADM;13,21;13,29;13,21;11,68;15,54;18;13,21;15,51;18;13,21;13,29;15;11,68;14,67;7,3;14,67;14,67;7,3;11,68;14,67;7,3;13;7,95;9,22;0;7
P008;ADM;15;11,8;15;10,2;15,73;16,5;15;15,72;16,5;15;11,8;13,5;10,2;15,93;18,9;15,93;15,93;18,9;10,2;15,93;18,9;11;12,67;14,23;0;8
P009;ADM;17,57;13,18;17,57;12,4;18,39;19,25;17,57;18,38;19,25;17,57;13,18;14;12,4;15,11;15,1;15,11;15,11;15,1;12,4;15,11;15,1;15,5;11,47;10,56;0;9
P010;ADM;14,08;14,17;14,08;12,45;15,98;18;14,08;15,96;18;14,08;14,17;16;12,45;12,49;14,75;12,49;12,49;14,75;12,45;12,49;14,75;9;13,61;14,5;0;10
